siofónaim	siofón
siombalaím	siombalaigh
sioncrónaím	sioncrónaigh
sioncóipím	sioncóipigh
siostalaím	siostalaigh
siséalaim	siséal
siúcraím	siúcraigh
siúlaim	siúil
siúntaim	siúnt
sleamhnaím	sleamhnaigh
slim-mhaisím	slim-mhaisigh
slisim	slis
slogaim	slog
slánaím	slánaigh
sléachtaim	sléacht
slíobaim	slíob
slíocaim	slíoc
slógaim	slóg
smachtaím	smachtaigh
smaoiním	smaoinigh
smeachaim	smeach
smearaim	smear
smiotaim	smiot
smocálaim	smocáil
sméidim	sméid
smístim	smíst
smúitím	smúitigh
snaidhmim	snaidhm
snasaím	snasaigh
snigeálaim	snigeáil
snoím	snoigh
snámhaim	snámh
sníomhaim	sníomh
socraím	socraigh
soilsím	soilsigh
soiléirím	soiléirigh
soladaím	soladaigh
sollúnaím	sollúnaigh
soláthraím	soláthair
sonraím	sonraigh
spallaím	spallaigh
spalpaim	spalp
sparraim	sparr
spealaim	speal
speirim	speir
spreagaim	spreag
spriúchaim	spriúch
spréachaim	spréach
spréim	spréigh
spágálaim	spágáil
spárálaim	spáráil
spíceálaim	spíceáil
spíonaim	spíon
sracaim	srac
sraithrannaím	sraithrannaigh
srannaim	srann
srathaím	srathaigh
sreangtharraingím	sreangtharraing
sroichim	sroich
sruthlaím	sruthlaigh
stadaim	stad
stampálaim	stampáil
staonaim	staon
steallaim	steall
steirilím	steiriligh
stiallaim	stiall
stobhaim	stobh
stoithim	stoith
stopaim	stop
stríocaim	stríoc
stróicim	stróic
stumpálaim	stumpáil
stuálaim	stuáil
stálaím	stálaigh
stánaim	stán
stánaím	stánaigh
stánphlátálaim	stánphlátáil
stíleálaim	stíleáil
stílím	stíligh
suaimhním	suaimhnigh
suaithim	suaith
substainim	substain
suimeálaim	suimeáil
suimím	suimigh
suím	suigh
sábhaim	sábh
sádrálaim	sádráil
sáim	sáigh
sáinním	sáinnigh
sáithím	sáithigh
sáraím	sáraigh
sársháithím	sársháithigh
sásaím	sásaigh
séalaím	séalaigh
séanaim	séan
séidim	séid
sílim	síl
sínim	sín
síním	sínigh
síobaim	síob
síolraím	síolraigh
síothlaím	síothlaigh
sóisialaím	sóisialaigh
sórtálaim	sórtáil
sótálaim	sótáil
súim	súigh
súisteálaim	súisteáil
tachtaim	tacht
tagaim	tar
tagraím	tagair
taibhsím	taibhsigh
taifeadaim	taifead
tairgim	tairg
tairneálaim	tairneáil
tairngrím	tairngir
tairngrím	tairngrir
taispeánaim	taispeáin
taisrím	taisrigh
taithím	taithigh
talmhaím	talmhaigh
tanaím	tanaigh
taobhaím	taobhaigh
taobhrianaim	taobhrian
taomaim	taom
taoscaim	taosc
tapaím	tapaigh
tapálaim	tapáil
tarcaisním	tarcaisnigh
tarchuirim	tarchuir
tarfhuaim	tarfhuaigh
tarraingím	tarraing
tarramhacadamaím	tarramhacadamaigh
tarrthálaim	tarrtháil
tarrálaim	tarráil
tarscaoilim	tarscaoil
tatuálaim	tatuáil
teagascaim	teagasc
teangaím	teangaigh
teanglaím	teanglaigh
teannaim	teann
teanntaím	teanntaigh
tearmannaím	tearmannaigh
teascaim	teasc
teasdíonaim	teasdíon
teibím	teibigh
teilgim	teilg
teilifísím	teilifísigh
teistím	teistigh
teithim	teith
teorannaím	teorannaigh
timpeallaím	timpeallaigh
timpeallghearraim	timpeallghearr
tiomnaím	tiomnaigh
tiompálaim	tiompáil
tiomsaím	tiomsaigh
tiomáinim	tiomáin
tionlacaim	tionlaic
tionsclaím	tionsclaigh
tionscnaím	tionscain
tionólaim	tionóil
tirimghlanaim	tirimghlan
titim	tit
tiubhaím	tiubhaigh
tnúthaim	tnúth
