platanaím	platanaigh
pleanálaim	pleanáil
plánálaim	plánáil
plástrálaim	plástráil
plátálaim	plátáil
pléadálaim	pléadáil
pléascaim	pléasc
pléascann	pléasc
plódaíonn	plódaigh
plúchaim	plúch
plúchann	plúch
pointeálaim	pointeáil
polaraím	polaraigh
pollaim	poll
pollann	poll
poncaím	poncaigh
poncloiscim	poncloisc
postaím	postaigh
potbhiathaím	potbhiathaigh
pramsálaim	pramsáil
preabaim	preab
preasálaim	preasáil
priocaim	prioc
priontálaim	priontáil
profaím	profaigh
prognóisím	prognóisigh
promhaim	promh
prásálaim	prásáil
prímeálaim	prímeáil
próiseálaim	próiseáil
próisím	próisigh
pulcaim	pulc
purgaím	purgaigh
pábhálaim	pábháil
páirceálaim	páirceáil
péacann	péac
péinteálaim	péinteáil
píceálaim	píceáil
píolótaím	píolótaigh
póilíním	póilínigh
póitseálaim	póitseáil
póraíonn	póraigh
pósaim	pós
púitseálaim	púitseáil
racálaim	racáil
radaim	rad
radann	rad
radaíonn	radaigh
ramhraím	ramhraigh
ramhraíonn	ramhraigh
rangaím	rangaigh
rannpháirtím	rannpháirtigh
ransaím	ransaigh
raonálaim	raonáil
raspálaim	raspáil
rathaím	rathaigh
reachtaím	reachtaigh
reicim	reic
reitheann	reith
rialaím	rialaigh
rianaím	rianaigh
riaraim	riar
riastálaim	riastáil
rigeálaim	rigeáil
righníonn	righnigh
rillim	rill
rinceann	rinc
rincim	rinc
ritheann	rith
rithim	rith
rocaim	roc
rocann	roc
roinneann	roinn
roinnim	roinn
roiseann	rois
roisim	rois
roisíním	roisínigh
rollaim	roll
rollaím	rollaigh
ropaim	rop
rothlaím	rothlaigh
ruaigim	ruaig
ruaimním	ruaimnigh
rubaraím	rubaraigh
rácálaim	rácáil
rádlaím	rádlaigh
rámhaím	rámhaigh
rásálann	rásáil
ráthaím	ráthaigh
réabaim	réab
réabann	réab
réadaím	réadaigh
réadtiomnaím	réadtiomnaigh
réalaim	réal
réamhaithrisím	réamhaithris
réamhcheapaim	réamhcheap
réamhdhátaím	réamhdhátaigh
réamhdhéanaim	réamhdhéan
réamhfhíoraím	réamhfhíoraigh
réamhghabhaim	réamhghabh
réamhghiorraím	réamhghiorraigh
réamhordaím	réamhordaigh
réasúnaím	réasúnaigh
réchasann	réchas
réimním	réimnigh
réitím	réitigh
ríomhaim	ríomh
ríonaím	ríonaigh
róluchtaím	róluchtaigh
